OBJECTID,location,population,population_white,population_white_only,population_hispanic,population_black,population_asian,population_native,population_native_islander,population_other,population_two_or_more,male_population,population_white_male,population_white_only_male,population_hispanic_male,population_black_male,population_asian_male,population_native_male,population_native_islander_male,population_other_male,population_two_or_more_male,female_population,population_white_female,population_white_only_female,population_hispanic_female,population_black_female,population_asian_female,population_native_female,population_native_islander_female,population_other_female,population_two_or_more_female,pct_white,pct_white_only,pct_hispanic,pct_black,pct_asian,pct_native,pct_native_islander,pct_other,pct_two_or_more,pop_num,pop_white_num,pop_black_num,pop_white_only_num,pop_hispanic_num,pop_native_islander_num,pop_other_num,pop_two_or_more_num,pop_native_num,pop_asian_num,majority_race,GEOIDFQ
1912,"Lynn County, Texas",5667,3664,3082,2356,90,27,64,8,469,1345,2946,1857,1588,1257,50,18,42,0,275,704,2721,1807,1494,1099,40,9,22,8,194,641,64.65502029,54.38503617,41.57402506,1.588141874,0.476442562,1.129345333,0.141168167,8.275983766,23.73389801,5667,3664,90,3082,2356,8,469,1345,64,27,White,0500000US48305
1913,"Otsego County, New York",59738,53822,53012,2576,1405,909,111,64,767,2660,29039,26024,25624,1304,770,392,45,39,423,1346,30699,27798,27388,1272,635,517,66,25,344,1314,90.09675583,88.74083498,4.312163112,2.351936791,1.521644514,0.185811376,0.107134487,1.283939871,4.452777127,59738,53822,1405,53012,2576,64,767,2660,111,909,White,0500000US36077
1914,"Richmond County, North Carolina",42818,24360,23602,3222,13599,344,899,0,2039,1577,20779,11904,11587,1672,6320,141,418,0,1219,777,22039,12456,12015,1550,7279,203,481,0,820,800,56.89196132,55.1216778,7.524872717,31.76000747,0.803400439,2.099584287,0,4.762015975,3.683030501,42818,24360,13599,23602,3222,0,2039,1577,899,344,White,0500000US37153
1915,"Millard County, Utah",13179,11345,10801,1755,47,225,195,19,762,586,6804,5863,5531,1001,12,78,137,17,421,276,6375,5482,5270,754,35,147,58,2,341,310,86.08392139,81.95614235,13.31664011,0.356627969,1.707261552,1.479626679,0.144168753,5.781925791,4.446467866,13179,11345,47,10801,1755,19,762,586,195,225,White,0500000US49027
1916,"Morgan County, Utah",12585,11871,11669,363,20,33,18,66,220,357,6529,6185,6107,161,20,0,18,24,105,177,6056,5686,5562,202,0,33,0,42,115,180,94.32657926,92.72149384,2.884386174,0.158919348,0.262216925,0.143027414,0.52443385,1.748112833,2.836710369,12585,11871,20,11669,363,66,220,357,18,33,White,0500000US49029
1917,"Kaufman County, Texas",160718,96408,83554,42372,27068,2724,870,17,8944,24687,79469,48327,41358,21496,13036,1137,408,16,4508,12037,81249,48081,42196,20876,14032,1587,462,1,4436,12650,59.98581366,51.98795406,26.36419069,16.84192188,1.694894162,0.541320823,0.010577533,5.565026942,15.360445,160718,96408,27068,83554,42372,17,8944,24687,870,2724,White,0500000US48257
1918,"Greenlee County, Arizona",9452,6114,4340,4396,139,64,376,0,526,2233,4946,3107,2238,2345,138,7,140,0,369,1185,4506,3007,2102,2051,1,57,236,0,157,1048,64.68472281,45.91620821,46.50867541,1.470588235,0.677105375,3.977994075,0,5.564959797,23.62462971,9452,6114,139,4340,4396,0,526,2233,376,64,White,0500000US04011
1919,"Maricopa County, Arizona",4491987,2828976,2397465,1387720,258962,196977,86964,9276,376045,734787,2233573,1403662,1187554,697861,130808,93432,42355,5004,187593,370719,2258414,1425314,1209911,689859,128154,103545,44609,4272,188452,364068,62.97827665,53.37203781,30.89323277,5.764976613,4.385075024,1.93598067,0.206501043,8.371462339,16.35772766,4491987,2828976,258962,2397465,1387720,9276,376045,734787,86964,196977,White,0500000US04013
1920,"Ogemaw County, Michigan",20853,19611,19430,461,135,158,76,4,64,805,10508,9870,9792,221,104,96,52,0,40,346,10345,9741,9638,240,31,62,24,4,24,459,94.04402244,93.17604182,2.210713087,0.647388865,0.757684746,0.364455954,0.019181892,0.306910277,3.860355824,20853,19611,135,19430,461,4,64,805,76,158,White,0500000US26129
1921,"Jackson County, Tennessee",11882,11091,11031,302,55,0,26,6,36,668,6024,5595,5595,63,55,0,22,6,21,325,5858,5496,5436,239,0,0,4,0,15,343,93.34287157,92.83790608,2.541659653,0.462885036,0,0.218818381,0.050496549,0.302979296,5.621949167,11882,11091,55,11031,302,6,36,668,26,0,White,0500000US47087
