OBJECTID,location,Metropolitan_Nonmetropolitan,crime_majority,All_Crime,Violent_Crime,Murder_and_Nonnegligent_Manslaughter,Rape,Robbery,Aggravated_Assault,Property_Crime,Burglary,Larceny_theft,Motor_Vehicle_Theft,Arson,pct_violent,pct_murder,pct_rape,pct_robbery,pct_assault,pct_property,pct_burglary,pct_larceny,pct_vehicle,pct_arson,GEOIDFQ
2567,"Carbon County, Montana",Metropolitan County,Property Crimes,78,9,2,0,0,7,30,1,26,3,0,11.53846154,2.564102564,0,0,8.974358974,38.46153846,1.282051282,33.33333333,3.846153846,0,0500000US30009
2568,"Stanton County, Nebraska",Nonmetropolitan County,Property Crimes,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,50,50,0,0,0,0500000US31167
2569,"Appling County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,0500000US13001
2570,"Dukes County, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,0500000US25007
2571,"McHenry County, North Dakota",Metropolitan County,Property Crimes,60,3,0,0,0,3,27,7,16,4,0,5,0,0,0,5,45,11.66666667,26.66666667,6.666666667,0,0500000US38049
2572,"Wayne County, Nebraska",Nonmetropolitan County,Property Crimes,18,1,0,0,0,1,8,3,2,3,0,5.555555556,0,0,0,5.555555556,44.44444444,16.66666667,11.11111111,16.66666667,0,0500000US31179
2573,"LaMoure County, North Dakota",,,,,,,,,,,,,,,,,,,,,,,,0500000US38045
2574,"Butte County, Idaho",,,,,,,,,,,,,,,,,,,,,,,,0500000US16023
2575,"Coos County, New Hampshire",,,,,,,,,,,,,,,,,,,,,,,,0500000US33007
2576,"Kidder County, North Dakota",,,,,,,,,,,,,,,,,,,,,,,,0500000US38043
2577,"Kleberg County, Texas",Nonmetropolitan County,Property Crimes,46,9,0,1,0,8,14,6,6,2,0,19.56521739,0,2.173913043,0,17.39130435,30.43478261,13.04347826,13.04347826,4.347826087,0,0500000US48273
2578,"Porter County, Indiana",Metropolitan County,Property Crimes,223,29,0,2,0,27,82,23,44,15,1,13.0044843,0,0.896860987,0,12.10762332,36.77130045,10.31390135,19.7309417,6.726457399,0.448430493,0500000US18127
2579,"Antrim County, Michigan",,,,,,,,,,,,,,,,,,,,,,,,0500000US26009
2580,"Marlboro County, South Carolina",Nonmetropolitan County,Property Crimes,998,132,1,10,6,115,365,77,230,58,4,13.22645291,0.100200401,1.002004008,0.601202405,11.52304609,36.57314629,7.715430862,23.04609218,5.811623246,0.400801603,0500000US45069
2581,"Benewah County, Idaho",Nonmetropolitan County,Property Crimes,189,34,0,2,0,32,60,11,43,6,1,17.98941799,0,1.058201058,0,16.93121693,31.74603175,5.82010582,22.75132275,3.174603175,0.529100529,0500000US16009
2582,"Lee County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,0500000US17103
