OBJECTID,location,median,median_white,median_white_only,median_hispanic,median_black_only,median_asian,median_native,median_native_islander,median_other,median_two_or_more,All_Crime,Violent_Crime,Murder_and_Nonnegligent_Manslaughter,Rape,Robbery,Aggravated_Assault,Property_Crime,Burglary,Larceny_theft,Motor_Vehicle_Theft,Arson,Metropolitan_Nonmetropolitan,crime_majority,pct_violent,pct_murder,pct_rape,pct_robbery,pct_assault,pct_property,pct_burglary,pct_larceny,pct_vehicle,pct_arson,majority_race,population,population_white,population_white_only,population_hispanic,population_black,population_asian,population_native,population_native_islander,population_other,population_two_or_more,male_population,population_white_male,population_white_only_male,population_hispanic_male,population_black_male,population_asian_male,population_native_male,population_native_islander_male,population_other_male,population_two_or_more_male,female_population,population_white_female,population_white_only_female,population_hispanic_female,population_black_female,population_asian_female,population_native_female,population_native_islander_female,population_other_female,population_two_or_more_female,pct_white,pct_white_only,pct_hispanic,pct_black,pct_asian,pct_native,pct_native_islander,pct_other,pct_two_or_more,Shape_Length,Shape_Area,GEOIDFQ
11,"Starr County, Texas",38182,41273,49955,37748,0,0,0,0,44907,30619,735,136,5,22,5,104,227,71,122,34,9,Nonmetropolitan County,Property Crimes,18.50340136,0.680272109,2.993197279,0.680272109,14.14965986,30.88435374,9.659863946,16.59863946,4.62585034,1.224489796,Hispanic/Latino,65809,29115,1417,64036,217,17,101,0,7440,28919,32110,14139,792,31133,122,0,77,0,3903,13869,33699,14976,625,32903,95,17,24,0,3537,15050,44.24166907,2.15320093,97.30583963,0.329742133,0.025832333,0.153474449,0,11.30544454,43.94383747,2.590658205,0.28836888,0500000US48427
12,"Effingham County, Georgia",85465,90466,90340,92450,67109,108000,16181,0,95269,103578,386,28,0,6,0,22,165,38,104,23,0,Metropolitan County,Property Crimes,7.25388601,0,1.554404145,0,5.699481865,42.74611399,9.844559585,26.94300518,5.958549223,0,White,67265,51410,49859,4128,9612,504,97,84,1144,4414,33309,25783,24900,2120,4725,186,31,0,513,2071,33956,25627,24959,2008,4887,318,66,84,631,2343,76.42904928,74.12324389,6.136921133,14.2897495,0.749275255,0.144205753,0.124879209,1.700735895,6.562105107,2.063457348,0.119838733,0500000US13103
13,"Roger Mills County, Oklahoma",62721,65625,66607,62143,0,0,0,0,75625,0,40,3,0,1,0,2,17,4,8,5,0,Nonmetropolitan County,Property Crimes,7.5,0,2.5,0,5,42.5,10,20,12.5,0,White,3378,2814,2730,282,3,10,243,22,49,237,1698,1436,1369,158,3,7,101,0,32,119,1680,1378,1361,124,0,3,142,22,17,118,83.30373002,80.81705151,8.348134991,0.088809947,0.296033156,7.193605684,0.651272943,1.450562463,7.01598579,2.613141669,0.29564623,0500000US40129
14,"Richland County, Wisconsin",62649,64084,64247,41779,0,0,0,0,53194,35469,70,10,0,1,0,9,25,1,19,5,0,Nonmetropolitan County,Property Crimes,14.28571429,0,1.428571429,0,12.85714286,35.71428571,1.428571429,27.14285714,7.142857143,0,White,17229,16090,15939,540,150,172,10,0,381,426,8613,8110,8075,242,21,71,2,0,208,201,8616,7980,7864,298,129,101,8,0,173,225,93.38905334,92.51262406,3.134250392,0.870625109,0.998316791,0.058041674,0,2.211387776,2.472575309,1.758454132,0.169514165,0500000US55103
15,"Lea County, New Mexico",68750,76788,79226,60165,62981,106250,66469,0,64918,53500,1512,103,1,8,6,88,653,116,469,68,0,Nonmetropolitan County,Property Crimes,6.812169312,0.066137566,0.529100529,0.396825397,5.82010582,43.18783069,7.671957672,31.01851852,4.497354497,0,Hispanic/Latino,73154,38233,23474,45091,2958,684,631,18,7957,22673,37963,19530,11857,23495,1952,267,496,18,4627,11073,35191,18703,11617,21596,1006,417,135,0,3330,11600,52.26371764,32.0884709,61.63846133,4.043524619,0.935013806,0.862563906,0.024605626,10.87705389,30.99352052,4.650965239,1.095713549,0500000US35025
16,"Lamar County, Alabama",47447,52948,53031,0,23867,0,0,0,0,0,34,3,0,0,1,2,14,3,8,3,0,Nonmetropolitan County,Property Crimes,8.823529412,0,0,2.941176471,5.882352941,41.17647059,8.823529412,23.52941176,8.823529412,0,White,13809,11954,11857,255,1282,20,51,0,65,437,6772,5917,5878,72,607,0,33,0,0,215,7037,6037,5979,183,675,20,18,0,65,222,86.56673184,85.8642914,1.846621768,9.28380042,0.14483308,0.369324354,0,0.47070751,3.164602795,1.640473614,0.152622852,0500000US01075
17,"Florida Municipio, Puerto Rico",21213,23119,0,21042,0,0,0,0,11886,23906,,,,,,,,,,,,,,,,,,,,,,,,Hispanic/Latino,11624,2963,32,11592,67,233,0,0,2451,5910,5401,1585,0,5401,46,0,0,0,1086,2684,6223,1378,32,6191,21,233,0,0,1365,3226,25.49036476,0.275292498,99.7247075,0.576393668,2.004473503,0,0,21.08568479,50.84308328,0.266220231,0.003372771,0500000US72054
18,"Marshall County, Tennessee",70829,75016,75575,66016,52964,0,13861,0,95625,49868,146,25,0,3,0,22,48,8,30,10,0,Nonmetropolitan County,Property Crimes,17.12328767,0,2.054794521,0,15.06849315,32.87671233,5.479452055,20.54794521,6.849315068,0,White,35276,30905,29445,2402,1447,234,79,0,902,1709,17628,15383,14442,1569,647,42,26,0,570,960,17648,15522,15003,833,800,192,53,0,332,749,87.60913936,83.47034811,6.809162037,4.101938995,0.663340515,0.223948293,0,2.556979249,4.844653589,1.836501383,0.096745129,0500000US47117
19,"Appomattox County, Virginia",62337,66278,65170,76373,51726,0,0,0,0,40417,219,22,0,0,0,22,87,6,81,0,1,Metropolitan County,Property Crimes,10.0456621,0,0,0,10.0456621,39.7260274,2.739726027,36.98630137,0,0.456621005,White,16424,12693,12498,368,2799,25,1,0,341,565,7985,6254,6141,166,1292,0,1,0,183,255,8439,6439,6357,202,1507,25,0,0,158,310,77.28324403,76.09595714,2.240623478,17.04213346,0.152216269,0.006088651,0,2.076229907,3.440087677,1.377672896,0.088381922,0500000US51011
20,"Madison County, Arkansas",53888,56353,56224,77292,0,163750,41198,0,42230,45321,341,73,1,14,0,58,97,32,49,16,1,Metropolitan County,Property Crimes,21.40762463,0.293255132,4.105571848,0,17.00879765,28.4457478,9.384164223,14.36950147,4.692082111,0.293255132,White,17032,12687,12336,1036,33,81,241,145,152,3693,8521,6165,6025,469,16,12,100,78,69,2081,8511,6522,6311,567,17,69,141,67,83,1612,74.48919681,72.42837013,6.082667919,0.193752936,0.475575388,1.41498356,0.851338657,0.892437764,21.68271489,2.133890876,0.216745501,0500000US05087
21,"St. Charles Parish, Louisiana",82172,96981,95983,101534,43298,147903,180182,0,97375,99135,1309,123,1,8,15,99,528,78,392,58,7,Metropolitan County,Property Crimes,9.396485867,0.076394194,0.611153552,1.145912911,7.56302521,40.33613445,5.958747135,29.94652406,4.430863254,0.534759358,White,51863,33706,32583,4134,11881,432,549,5,2029,3261,25830,16882,16233,2208,5575,191,297,0,1133,1752,26033,16824,16350,1926,6306,241,252,5,896,1509,64.99045562,62.82513545,7.971000521,22.90843183,0.83296377,1.058558124,0.009640784,3.912230299,6.287719569,1.476402369,0.096021997,0500000US22089
22,"Poinsett County, Arkansas",47188,52252,52319,29375,31974,0,0,0,24097,27462,265,51,2,7,1,41,81,21,50,10,1,Metropolitan County,Property Crimes,19.24528302,0.754716981,2.641509434,0.377358491,15.47169811,30.56603774,7.924528302,18.86792453,3.773584906,0.377358491,White,22740,19300,19241,840,1331,5,139,7,202,1756,11063,9416,9373,465,672,1,13,7,74,880,11677,9884,9868,375,659,4,126,0,128,876,84.87247142,84.61301671,3.693931398,5.853122252,0.021987687,0.611257696,0.030782762,0.888302551,7.722075638,2.041678949,0.196660463,0500000US05111
23,"Gulf County, Florida",67361,68011,67903,54500,58393,0,0,0,0,73698,136,17,1,1,0,15,51,21,30,0,0,Nonmetropolitan County,Property Crimes,12.5,0.735294118,0.735294118,0,11.02941176,37.5,15.44117647,22.05882353,0,0,White,14772,11680,11414,656,2075,67,119,18,93,720,8477,6108,5872,568,1713,14,105,18,81,438,6295,5572,5542,88,362,53,14,0,12,282,79.06850799,77.26780395,4.44083401,14.04684538,0.453560791,0.805578121,0.121852153,0.629569456,4.874086109,2.306188039,0.19217344,0500000US12045
24,"Hamblen County, Tennessee",52794,55808,56016,49948,28967,0,0,0,0,50229,754,102,1,6,1,94,273,64,167,42,4,Metropolitan County,Property Crimes,13.52785146,0.132625995,0.795755968,0.132625995,12.4668435,36.20689655,8.48806366,22.14854111,5.570291777,0.530503979,White,64930,53306,50359,9561,1737,581,225,459,2488,6134,32224,26017,24487,5070,852,286,155,196,1354,3364,32706,27289,25872,4491,885,295,70,263,1134,2770,82.09764362,77.55890959,14.72508856,2.675188665,0.894809795,0.346527029,0.706915139,3.831818882,9.447096874,1.495608659,0.0456363,0500000US47063
25,"Ballard County, Kentucky",64740,66495,66471,70368,0,0,0,0,0,0,120,4,0,0,0,4,56,19,27,10,0,Metropolitan County,Property Crimes,3.333333333,0,0,0,3.333333333,46.66666667,15.83333333,22.5,8.333333333,0,White,7678,7065,7028,110,279,26,16,0,3,289,3894,3524,3492,80,190,8,6,0,3,163,3784,3541,3536,30,89,18,10,0,0,126,92.01615004,91.53425371,1.432664756,3.633758791,0.338629852,0.208387601,0,0.039072675,3.764001042,1.34572979,0.071889541,0500000US21007
26,"Archer County, Texas",71958,72956,72936,69875,0,0,0,0,69000,70341,20,3,0,0,0,3,7,3,3,1,0,Metropolitan County,Property Crimes,15,0,0,0,15,35,15,15,5,0,White,8734,7960,7547,787,70,18,84,0,115,487,4447,3964,3732,430,57,0,43,0,82,301,4287,3996,3815,357,13,18,41,0,33,186,91.13808106,86.40943439,9.010762537,0.801465537,0.206091138,0.961758644,0,1.316693382,5.575910236,1.939562522,0.232907213,0500000US48009
27,"Baylor County, Texas",42313,41959,41922,25806,0,0,0,0,0,55948,6,0,0,0,0,0,3,0,2,1,0,Nonmetropolitan County,Property Crimes,0,0,0,0,0,50,0,33.33333333,16.66666667,0,White,3464,2803,2630,473,26,0,6,47,222,360,1736,1414,1319,195,26,0,2,21,98,175,1728,1389,1311,278,0,0,4,26,124,185,80.91801386,75.92378753,13.65473441,0.750577367,0,0.173210162,1.356812933,6.408775982,10.3926097,1.912542356,0.226738985,0500000US48023
28,"San Augustine County, Texas",46338,58569,58602,35054,26893,0,0,0,29097,66389,78,10,1,2,0,7,29,12,11,6,0,Nonmetropolitan County,Property Crimes,12.82051282,1.282051282,2.564102564,0,8.974358974,37.17948718,15.38461538,14.1025641,7.692307692,0,White,7889,5574,5406,643,1746,0,72,0,359,138,3787,2683,2585,350,792,0,42,0,174,96,4102,2891,2821,293,954,0,30,0,185,42,70.65534288,68.52579541,8.150589428,22.13208265,0,0.912663202,0,4.550640132,1.749271137,2.574868689,0.145471781,0500000US48405
29,"Storey County, Nevada",96000,89375,84976,116117,0,0,0,0,0,116681,,,,,,,,,,,,,,,,,,,,,,,,White,4139,3628,3497,291,80,42,1,0,20,368,2211,1958,1929,132,72,21,1,0,10,149,1928,1670,1568,159,8,21,0,0,10,219,87.65402271,84.48900701,7.03068374,1.932834018,1.014737859,0.024160425,0,0.483208504,8.891036482,1.525343121,0.07168931,0500000US32029
30,"Schley County, Georgia",59647,61410,61603,0,33427,0,0,0,0,67045,38,5,0,0,0,5,14,2,12,0,0,Nonmetropolitan County,Property Crimes,13.15789474,0,0,0,13.15789474,36.84210526,5.263157895,31.57894737,0,0,White,4539,3554,3536,96,779,0,4,0,17,185,2204,1688,1684,35,424,0,0,0,0,92,2335,1866,1852,61,355,0,4,0,17,93,78.29918484,77.90262172,2.115003305,17.16237057,0,0.088125138,0,0.374531835,4.075787618,1.132850686,0.041599922,0500000US13249
31,"Madison County, Texas",67128,73545,76929,60146,52361,0,0,0,0,70588,94,13,0,5,0,8,34,11,12,11,0,Nonmetropolitan County,Property Crimes,13.82978723,0,5.319148936,0,8.510638298,36.17021277,11.70212766,12.76595745,11.70212766,0,White,13574,8442,7137,3509,2129,113,48,6,973,1863,7641,4400,3630,2212,1327,67,43,0,634,1170,5933,4042,3507,1297,802,46,5,6,339,693,62.1924267,52.57845882,25.85089141,15.68439664,0.832473847,0.353617209,0.044202151,7.168115515,13.72476794,2.00123274,0.115518145,0500000US48313
32,"San Joaquin County, California",88531,91753,96013,77870,72447,110181,75771,127560,78271,83367,5292,776,5,71,151,549,1849,452,1252,145,42,Metropolitan County,Property Crimes,14.66364324,0.094482237,1.34164777,2.853363568,10.37414966,34.93953137,8.541194255,23.65835223,2.739984883,0.793650794,Hispanic/Latino,787416,292062,220011,332543,55048,140647,9585,4745,129646,155683,394479,144568,108691,169470,27160,69381,4646,2419,66085,80220,392937,147494,111320,163073,27888,71266,4939,2326,63561,75463,37.09119449,27.94088512,42.23218731,6.990967925,17.86184177,1.2172727,0.60260396,16.46474037,19.77137879,3.285270421,0.378671072,0500000US06077
33,"Winston County, Mississippi",49071,67143,67340,27697,30598,0,28233,0,0,0,204,33,5,8,3,17,68,34,29,5,2,Nonmetropolitan County,Property Crimes,16.17647059,2.450980392,3.921568627,1.470588235,8.333333333,33.33333333,16.66666667,14.21568627,2.450980392,0.980392157,White,17609,8745,8717,91,8319,12,218,0,27,288,8531,4365,4350,40,3950,12,70,0,0,134,9078,4380,4367,51,4369,0,148,0,27,154,49.66210461,49.50309501,0.516781191,47.24288716,0.06814697,1.238003294,0,0.153330683,1.635527287,1.744375773,0.152606914,0500000US28159
34,"Henry County, Kentucky",60736,59803,59555,89779,65192,128229,0,0,137308,64583,25,2,0,1,0,1,10,2,5,3,1,Metropolitan County,Property Crimes,8,0,4,0,4,40,8,20,12,4,White,15774,14360,14214,606,425,83,1,0,223,682,7895,7148,7065,284,334,44,0,0,141,228,7879,7212,7149,322,91,39,1,0,82,454,91.03588183,90.1103081,3.84176493,2.694307088,0.526182325,0.006339546,0,1.413718778,4.323570432,1.485907257,0.077811231,0500000US21103
35,"Mercer County, Kentucky",63115,64608,64746,58542,49844,0,0,0,98654,70750,42,1,0,0,0,1,20,5,10,5,0,Nonmetropolitan County,Property Crimes,2.380952381,0,0,0,2.380952381,47.61904762,11.9047619,23.80952381,11.9047619,0,White,22824,20803,20606,730,813,60,57,0,304,787,11401,10163,10091,456,422,34,48,0,218,516,11423,10640,10515,274,391,26,9,0,86,271,91.14528566,90.28215913,3.198387662,3.562039958,0.262881178,0.249737119,0,1.3319313,3.448124781,1.614928379,0.06712526,0500000US21167
36,"Wheeler County, Nebraska",55893,55179,55357,99375,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,White,785,764,760,15,0,1,0,0,4,16,394,386,385,5,0,0,0,0,2,6,391,378,375,10,0,1,0,0,2,10,97.32484076,96.81528662,1.910828025,0,0.127388535,0,0,0.50955414,2.038216561,1.626002484,0.161783948,0500000US31183
37,"Lewis County, Kentucky",41632,41654,41654,0,0,0,0,0,0,21818,62,4,0,0,0,4,27,5,15,7,0,Nonmetropolitan County,Property Crimes,6.451612903,0,0,0,6.451612903,43.5483871,8.064516129,24.19354839,11.29032258,0,White,13028,12641,12641,11,4,19,0,32,35,297,6492,6336,6336,7,0,0,0,0,22,134,6536,6305,6305,4,4,19,0,32,13,163,97.02947498,97.02947498,0.084433528,0.030703101,0.14583973,0,0.245624808,0.268652134,2.27970525,2.356677421,0.1324976,0500000US21135
38,"Grant County, Minnesota",72957,74357,74071,90417,0,0,0,0,81250,38333,25,9,1,0,1,7,3,2,1,0,1,Nonmetropolitan County,Violent Crimes,36,4,0,4,28,12,8,4,0,4,White,6108,5749,5663,158,31,4,27,2,70,225,3122,2958,2905,86,16,0,15,0,34,99,2986,2791,2758,72,15,4,12,2,36,126,94.12246234,92.71447282,2.586771447,0.507531107,0.065487885,0.442043222,0.032743942,1.146037983,3.683693517,1.711331616,0.172906713,0500000US27051
39,"Humphreys County, Mississippi",32976,64844,64844,0,26812,0,0,0,0,63333,,,,,,,,,,,,,,,,,,,,,,,,Black,7570,1538,1538,5,5966,12,7,0,5,42,3626,789,789,5,2829,2,0,0,5,1,3944,749,749,0,3137,10,7,0,0,41,20.31704095,20.31704095,0.066050198,78.81109643,0.158520476,0.092470277,0,0.066050198,0.554821664,2.101678721,0.10791729,0500000US28053
40,"Clarke County, Alabama",49167,63045,63250,0,36368,0,0,0,0,48750,218,36,1,1,4,30,73,12,44,17,0,Nonmetropolitan County,Property Crimes,16.51376147,0.458715596,0.458715596,1.834862385,13.76146789,33.48623853,5.504587156,20.18348624,7.798165138,0,White,22802,11749,11674,261,10360,71,9,0,217,396,10789,5661,5643,159,4765,1,9,0,178,175,12013,6088,6031,102,5595,70,0,0,39,221,51.52618191,51.1972634,1.144636435,45.434611,0.311376195,0.039470222,0,0.951670906,1.736689764,3.785234676,0.308553889,0500000US01025
41,"Chase County, Kansas",54518,54857,54696,97609,0,0,0,0,0,50917,60,4,0,1,0,3,26,6,16,4,0,Nonmetropolitan County,Property Crimes,6.666666667,0,1.666666667,0,5,43.33333333,10,26.66666667,6.666666667,0,White,2579,2296,2245,208,32,16,0,0,11,224,1330,1176,1134,116,32,0,0,0,0,122,1249,1120,1111,92,0,16,0,0,11,102,89.02675456,87.04924389,8.065141528,1.240791004,0.620395502,0,0,0.426521908,8.68553703,1.844486738,0.207456683,0500000US20017
42,"Trigg County, Kentucky",54630,57867,58257,40846,43719,0,0,0,0,28897,129,4,0,0,1,3,60,23,29,8,1,Metropolitan County,Property Crimes,3.100775194,0,0,0.775193798,2.325581395,46.51162791,17.82945736,22.48062016,6.201550388,0.775193798,White,14211,12401,12280,366,913,41,0,0,61,795,7073,6223,6169,200,434,18,0,0,7,391,7138,6178,6111,166,479,23,0,0,54,404,87.26338752,86.41193442,2.575469707,6.424600661,0.288508902,0,0,0.429244951,5.594257969,1.494583964,0.1258857,0500000US21221
43,"Jasper County, Iowa",70128,70891,70982,47759,61184,105179,0,0,48793,41364,147,6,0,2,0,4,67,19,33,15,1,Metropolitan County,Property Crimes,4.081632653,0,1.360544218,0,2.721088435,45.57823129,12.92517007,22.44897959,10.20408163,0.680272109,White,37864,35155,34781,1110,589,222,34,60,566,1238,19796,18059,17839,629,533,83,34,28,279,780,18068,17096,16942,481,56,139,0,32,287,458,92.84544686,91.85770125,2.931544475,1.555567293,0.586308895,0.089795056,0.158461864,1.494823579,3.26959645,1.893349042,0.205290656,0500000US19099
44,"Wayne County, Mississippi",36791,53497,53497,0,24274,0,0,0,0,91250,395,48,0,2,0,46,149,32,89,28,1,Nonmetropolitan County,Property Crimes,12.15189873,0,0.506329114,0,11.64556962,37.72151899,8.101265823,22.53164557,7.088607595,0.253164557,White,19699,11168,11168,747,7318,20,5,0,395,793,9519,5557,5557,500,3126,13,0,0,170,653,10180,5611,5611,247,4192,7,5,0,225,140,56.69323316,56.69323316,3.792070663,37.14909386,0.101527996,0.025381999,0,2.005177928,4.025585055,1.823102387,0.200322034,0500000US28153
45,"Cottle County, Texas",58819,73977,77688,0,16167,0,0,0,0,65368,,,,,,,,,,,,,,,,,,,,,,,,White,1302,855,769,338,64,0,0,0,53,330,659,434,426,121,34,0,0,0,17,174,643,421,343,217,30,0,0,0,36,156,65.66820276,59.06298003,25.96006144,4.915514593,0,0,0,4.070660522,25.34562212,2.022276036,0.228081977,0500000US48101
46,"Greensville County, Virginia",56759,61831,61279,0,51250,0,0,0,0,90192,174,19,3,4,0,12,68,14,44,10,0,Nonmetropolitan County,Property Crimes,10.91954023,1.724137931,2.298850575,0,6.896551724,39.08045977,8.045977011,25.28735632,5.747126437,0,Black,11304,4101,3997,577,6040,29,16,0,306,812,7086,2576,2506,503,3701,19,16,0,271,503,4218,1525,1491,74,2339,10,0,0,35,309,36.27919321,35.3591649,5.104387827,53.43241331,0.256546355,0.141542817,0,2.707006369,7.183297948,2.156057157,0.077539717,0500000US51081
47,"Polk County, Florida",63644,67467,67848,60950,49548,68776,61771,0,55466,64483,8748,1276,8,69,106,1093,3095,546,2215,334,6,Metropolitan County,Property Crimes,14.58619113,0.091449474,0.788751715,1.211705533,12.49428441,35.37951532,6.241426612,25.32007316,3.818015546,0.068587106,White,760961,455386,400412,211002,112450,13475,2811,306,86902,89631,375103,222030,195839,107051,55083,6064,1632,165,46236,43893,385858,233356,204573,103951,57367,7411,1179,141,40666,45738,59.84353994,52.61925381,27.72835927,14.77736704,1.770787202,0.369401323,0.04021231,11.42003335,11.77865883,3.797768722,0.4774645,0500000US12105
48,"Young County, Texas",63723,66188,68052,51544,0,0,0,0,45901,77955,8,4,0,0,0,4,0,0,0,0,0,Nonmetropolitan County,Violent Crimes,50,0,0,0,50,0,0,0,0,0,White,17963,14942,13584,3621,311,49,54,0,1047,1560,8945,7179,6642,1972,72,17,29,0,549,1099,9018,7763,6942,1649,239,32,25,0,498,461,83.18209653,75.62211212,20.15810277,1.731336636,0.272782943,0.300617937,0,5.828647776,8.684518176,1.941878088,0.233074844,0500000US48503
49,"Tallapoosa County, Alabama",57185,64202,64155,41161,31188,56711,0,0,68304,46094,139,8,0,3,0,5,61,14,38,9,1,Nonmetropolitan County,Property Crimes,5.755395683,0,2.158273381,0,3.597122302,43.88489209,10.07194245,27.3381295,6.474820144,0.71942446,White,41070,28233,27992,1137,9607,201,117,0,425,2487,19970,13930,13867,562,4254,49,98,0,235,1404,21100,14303,14125,575,5353,152,19,0,190,1083,68.74360847,68.15680545,2.76844412,23.39177015,0.489408327,0.284879474,0,1.034818602,6.055514974,2.166632573,0.191190415,0500000US01123
