OBJECTID,Location,median,median_white,median_white_only,median_hispanic,median_black_only,median_asian,median_native,median_native_islander,median_other,median_two_or_more,GEOIDFQ
2460,"Lapeer County, Michigan",76228,76530,76883,57969,53194,200694,89602,0,72188,67596,0500000US26087
2461,"Claiborne Parish, Louisiana",31784,44337,44639,36389,21864,0,0,0,0,63920,0500000US22027
2462,"Titus County, Texas",59220,67779,67942,57203,30231,77633,0,0,52782,64464,0500000US48449
2463,"Hampshire County, West Virginia",60299,61579,61579,0,0,0,0,0,0,21552,0500000US54027
2464,"Moore County, North Carolina",82837,88609,88862,62041,46581,0,57045,0,51250,78393,0500000US37125
2465,"Barton County, Kansas",56733,58333,58073,50500,23472,0,67000,0,43929,41947,0500000US20009
2466,"Slope County, North Dakota",62500,71607,71607,0,0,0,0,0,0,0,0500000US38087
2467,"Richland Parish, Louisiana",52960,65903,65903,0,24462,0,0,0,0,0,0500000US22083
2468,"Garfield County, Nebraska",68611,68833,68833,0,0,0,0,0,0,4286,0500000US31071
2469,"St. Martin Parish, Louisiana",53394,63229,63578,59035,34874,0,0,0,96860,58667,0500000US22099
2470,"Sumter County, Alabama",37981,59341,59413,0,31346,0,0,0,0,56795,0500000US01119
2471,"Winston County, Alabama",48032,47152,47080,63485,0,61719,62750,0,0,48750,0500000US01133
2472,"Seminole County, Florida",83030,89790,91894,68819,60351,105300,85197,76927,75091,71594,0500000US12117
2473,"Forrest County, Mississippi",52821,66839,66591,55987,34760,-2500,0,0,0,42390,0500000US28035
2474,"Ingham County, Michigan",64354,69577,70307,56814,43881,58750,70625,0,58986,56039,0500000US26065
2475,"Shawnee County, Kansas",66043,72057,72593,51576,46120,63750,37045,46429,47556,60439,0500000US20177
2476,"Hanson County, South Dakota",86375,87569,87639,0,0,0,0,0,0,39375,0500000US46061
2477,"Itasca County, Minnesota",66380,68034,67942,92917,148224,0,32778,28688,111250,59734,0500000US27061
2478,"Lincoln County, Colorado",54257,59750,58250,0,0,0,0,0,13750,0,0500000US08073
2479,"Madison County, New York",73141,73042,73008,53224,115417,104167,45688,0,42917,81000,0500000US36053
2480,"Washington County, New York",72342,72572,72564,88918,123125,58750,93929,0,71942,68750,0500000US36115
2481,"Johnson County, Indiana",87227,88242,88518,58521,61362,109375,0,0,79432,59137,0500000US18081
2482,"Fulton County, Illinois",58617,58911,58956,0,0,43846,113333,0,131250,53415,0500000US17057
2483,"Suffolk County, New York",128329,131463,132338,118129,110885,137158,80481,0,118911,122640,0500000US36103
2484,"Union County, Indiana",79500,79944,81389,39018,0,0,0,0,0,96341,0500000US18161
2485,"McDonald County, Missouri",48145,48133,48295,41588,45147,46438,39167,86000,55774,47813,0500000US29119
2486,"Scotts Bluff County, Nebraska",60960,61563,61170,63162,0,76184,32772,0,57279,61489,0500000US31157
2487,"San Miguel County, New Mexico",47400,50473,54740,43650,0,0,38500,0,40357,45074,0500000US35047
2488,"Lee County, Alabama",61123,69392,70334,44912,42878,90536,85543,0,37865,58104,0500000US01081
2489,"Parker County, Texas",102099,104067,103277,94659,137125,156167,61361,0,70407,90000,0500000US48367
2490,"Dickey County, North Dakota",63125,65086,64474,0,0,0,0,0,47500,0,0500000US38021
2491,"Barnes County, North Dakota",70230,71782,71954,81250,0,0,0,0,0,60125,0500000US38003
2492,"Sibley County, Minnesota",76082,78097,78615,42609,53571,34911,53750,0,65833,43854,0500000US27143
2493,"Upson County, Georgia",50904,59046,59507,0,36038,0,0,0,76724,70208,0500000US13293
2494,"Sonoma County, California",102840,108341,108134,90002,92500,107200,85150,89395,81588,95999,0500000US06097
2495,"Chippewa County, Michigan",60631,62039,62097,36250,40865,97386,52174,32000,35870,55000,0500000US26033
2496,"Bonneville County, Idaho",76646,79116,79989,63056,73156,85625,58419,0,54237,74689,0500000US16019
2497,"Barrow County, Georgia",77477,80436,81108,65851,71470,95604,193271,0,54709,65979,0500000US13013
2498,"Long County, Georgia",64747,76875,76755,29432,60765,0,0,0,0,45125,0500000US13183
2499,"Kinney County, Texas",66341,67277,66964,63854,0,0,0,0,0,73583,0500000US48271
2500,"Ottawa County, Oklahoma",48656,50680,50589,45357,56250,55250,44018,37054,36429,47134,0500000US40115
2501,"Clearfield County, Pennsylvania",60181,60318,60338,0,0,76750,0,0,0,54167,0500000US42033
2502,"Clinton County, Michigan",85928,86095,86092,83056,66897,71838,139500,0,39583,104931,0500000US26037
2503,"Santa Isabel Municipio, Puerto Rico",23197,24534,0,23047,23457,0,0,0,26691,22249,0500000US72133
2504,"Montgomery County, Illinois",61863,61547,62234,34598,0,106641,0,0,0,0,0500000US17135
2505,"Alcorn County, Mississippi",49404,53241,53148,54388,21321,68462,0,0,54371,49215,0500000US28003
2506,"Lafayette County, Mississippi",64334,74098,74266,44750,40440,31125,0,0,52656,88033,0500000US28071
2507,"Grant Parish, Louisiana",61112,66329,66883,0,42204,0,0,0,0,36214,0500000US22043
2508,"Atchison County, Missouri",59260,60134,60179,73864,0,0,250000,0,0,41250,0500000US29005
2509,"Macon County, Illinois",62449,69794,70023,58200,36462,72500,0,0,45833,46250,0500000US17115
2510,"Russell County, Kansas",53902,57759,57791,-2500,0,0,16473,0,0,49688,0500000US20167
2511,"Putnam County, Illinois",77526,75400,77561,67976,0,0,0,0,80250,83421,0500000US17155
2512,"Haakon County, South Dakota",59231,57369,57369,0,0,0,0,0,0,153214,0500000US46055
2513,"Macon County, Tennessee",56269,56964,57753,26250,0,0,0,0,42292,47604,0500000US47111
2514,"Cleburne County, Arkansas",55979,57546,57468,0,86071,0,56134,0,0,31902,0500000US05023
2515,"Pike County, Alabama",47961,58705,59443,41326,36618,-2500,108667,0,0,34201,0500000US01109
2516,"Adams County, Idaho",59286,59119,58821,64000,0,0,0,0,0,78750,0500000US16003
