"GEO_ID","NAME","B19001F_001E","B19001F_001M","B19001F_002E","B19001F_002M","B19001F_003E","B19001F_003M","B19001F_004E","B19001F_004M","B19001F_005E","B19001F_005M","B19001F_006E","B19001F_006M","B19001F_007E","B19001F_007M","B19001F_008E","B19001F_008M","B19001F_009E","B19001F_009M","B19001F_010E","B19001F_010M","B19001F_011E","B19001F_011M","B19001F_012E","B19001F_012M","B19001F_013E","B19001F_013M","B19001F_014E","B19001F_014M","B19001F_015E","B19001F_015M","B19001F_016E","B19001F_016M","B19001F_017E","B19001F_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US19051","Davis County, Iowa","49","29","0","15","0","15","0","15","0","15","0","15","5","8","0","15","0","15","15","20","0","15","0","15","22","22","0","15","7","10","0","15","0","15",
"0500000US19053","Decatur County, Iowa","46","29","20","20","0","15","0","15","6","9","0","15","0","15","0","15","0","15","0","15","16","17","0","15","0","15","4","5","0","15","0","15","0","15",
"0500000US19055","Delaware County, Iowa","11","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","3","5","8","14","0","16","0","16","0","16","0","16","0","16",
"0500000US19057","Des Moines County, Iowa","117","122","0","22","80","119","0","22","0","22","0","22","18","24","0","22","0","22","0","22","0","22","9","14","0","22","0","22","0","22","10","16","0","22",
"0500000US19059","Dickinson County, Iowa","21","28","0","16","0","16","0","16","0","16","0","16","8","14","0","16","0","16","0","16","0","16","0","16","13","24","0","16","0","16","0","16","0","16",
"0500000US19061","Dubuque County, Iowa","224","111","0","24","4","6","0","24","0","24","0","24","0","24","21","29","30","45","0","24","4","8","30","40","89","95","23","23","9","13","7","10","7","9",
"0500000US19063","Emmet County, Iowa","27","28","0","15","0","15","15","24","0","15","0","15","0","15","0","15","0","15","0","15","3","4","0","15","0","15","2","5","7","12","0","15","0","15",
"0500000US19065","Fayette County, Iowa","4","5","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","4","5","0","16","0","16","0","16","0","16","0","16",
"0500000US19067","Floyd County, Iowa","6","11","3","7","3","8","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16",
"0500000US19069","Franklin County, Iowa","73","46","0","15","10","16","0","15","0","15","0","15","0","15","6","10","0","15","4","5","11","19","8","11","24","31","7","10","3","5","0","15","0","15",
"0500000US19071","Fremont County, Iowa","4","8","0","15","0","15","0","15","0","15","0","15","3","7","0","15","0","15","0","15","0","15","1","2","0","15","0","15","0","15","0","15","0","15",
"0500000US19073","Greene County, Iowa","37","39","3","5","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","2","3","0","15","0","15","2","5","0","15","30","37",
"0500000US19075","Grundy County, Iowa","23","31","0","16","0","16","0","16","0","16","0","16","0","16","6","8","0","16","0","16","0","16","17","26","0","16","0","16","0","16","0","16","0","16",
"0500000US19077","Guthrie County, Iowa","28","23","0","16","0","16","0","16","3","5","0","16","2","4","0","16","0","16","0","16","6","9","0","16","10","17","0","16","0","16","7","11","0","16",
"0500000US19079","Hamilton County, Iowa","43","41","0","16","0","16","0","16","7","10","0","16","27","39","0","16","0","16","0","16","4","6","5","6","0","16","0","16","0","16","0","16","0","16",
"0500000US19081","Hancock County, Iowa","71","48","0","16","44","51","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","9","13","18","20","0","16","0","16","0","16","0","16",
"0500000US19083","Hardin County, Iowa","66","39","0","16","0","16","0","16","12","21","0","16","3","4","0","16","11","17","16","19","9","16","5","5","2","4","0","16","0","16","8","11","0","16",
"0500000US19085","Harrison County, Iowa","17","12","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","2","4","0","16","0","16","5","8","9","9","0","16","1","2","0","16",
"0500000US19087","Henry County, Iowa","88","51","0","19","0","19","0","19","0","19","0","19","9","15","6","9","23","37","0","19","0","19","0","19","50","46","0","19","0","19","0","19","0","19",
"0500000US19089","Howard County, Iowa","44","30","0","15","0","15","0","15","0","15","0","15","10","16","0","15","0","15","0","15","11","19","2","4","21","20","0","15","0","15","0","15","0","15",
"0500000US19091","Humboldt County, Iowa","10","10","0","15","0","15","4","7","2","3","0","15","1","3","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","2","3","1","2",
"0500000US19093","Ida County, Iowa","49","26","0","15","2","3","0","15","0","15","0","15","0","15","2","5","0","15","7","9","29","26","0","15","4","5","5","7","0","15","0","15","0","15",
"0500000US19095","Iowa County, Iowa","24","25","0","16","0","16","15","20","0","16","0","16","0","16","0","16","0","16","9","14","0","16","0","16","0","16","0","16","0","16","0","16","0","16",
"0500000US19097","Jackson County, Iowa","19","18","0","16","0","16","0","16","0","16","0","16","0","16","8","14","0","16","0","16","0","16","0","16","0","16","0","16","2","3","9","13","0","16",
"0500000US19099","Jasper County, Iowa","128","52","0","22","0","22","1","2","0","22","0","22","0","22","20","35","28","29","29","35","0","22","45","51","1","2","4","7","0","22","0","22","0","22",
"0500000US19101","Jefferson County, Iowa","34","27","8","15","0","16","0","16","0","16","4","7","6","12","0","16","0","16","0","16","2","3","0","16","5","11","0","16","0","16","0","16","9","17",
"0500000US19103","Johnson County, Iowa","1199","280","122","99","31","34","70","71","73","78","26","31","0","24","33","42","130","111","65","92","186","148","76","68","242","141","74","62","25","31","22","27","24","31",
"0500000US19105","Jones County, Iowa","45","41","0","19","0","19","0","19","0","19","0","19","0","19","0","19","9","15","0","19","15","21","0","19","21","31","0","19","0","19","0","19","0","19",
"0500000US19107","Keokuk County, Iowa","18","13","8","10","0","15","0","15","0","15","2","3","0","15","0","15","1","4","0","15","2","4","3","4","0","15","0","15","2","3","0","15","0","15",
"0500000US19109","Kossuth County, Iowa","77","50","0","16","0","16","0","16","13","18","0","16","0","16","0","16","0","16","0","16","2","4","1","3","0","16","54","55","0","16","0","16","7","7",
"0500000US19111","Lee County, Iowa","66","44","7","11","0","22","0","22","12","18","0","22","0","22","0","22","14","21","0","22","0","22","17","28","16","23","0","22","0","22","0","22","0","22",
"0500000US19113","Linn County, Iowa","683","200","70","83","0","24","1","3","0","24","0","24","44","52","69","86","5","7","0","24","16","27","111","98","106","97","65","60","56","63","44","50","96","65",
