"GEO_ID","NAME","B19001D_001E","B19001D_001M","B19001D_002E","B19001D_002M","B19001D_003E","B19001D_003M","B19001D_004E","B19001D_004M","B19001D_005E","B19001D_005M","B19001D_006E","B19001D_006M","B19001D_007E","B19001D_007M","B19001D_008E","B19001D_008M","B19001D_009E","B19001D_009M","B19001D_010E","B19001D_010M","B19001D_011E","B19001D_011M","B19001D_012E","B19001D_012M","B19001D_013E","B19001D_013M","B19001D_014E","B19001D_014M","B19001D_015E","B19001D_015M","B19001D_016E","B19001D_016M","B19001D_017E","B19001D_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US42005","Armstrong County, Pennsylvania","92","33","0","27","16","22","0","27","0","27","9","14","14","16","0","27","6","9","0","27","10","9","0","27","8","10","18","22","0","27","2","4","9","10",
"0500000US42007","Beaver County, Pennsylvania","206","67","0","27","0","27","0","27","5","8","6","9","0","27","0","27","0","27","0","27","15","20","36","24","53","42","19","25","18","29","8","12","46","38",
"0500000US42009","Bedford County, Pennsylvania","37","24","0","24","4","6","0","24","3","5","0","24","0","24","0","24","0","24","0","24","6","10","0","24","0","24","20","22","0","24","0","24","4","5",
"0500000US42011","Berks County, Pennsylvania","2010","248","75","59","52","65","123","97","43","44","68","58","265","179","43","37","22","22","95","77","110","74","111","59","119","76","244","115","144","72","191","81","305","105",
"0500000US42013","Blair County, Pennsylvania","166","63","5","10","9","13","6","10","1","3","1","3","0","27","10","10","0","27","17","20","0","27","0","27","30","44","4","7","0","27","34","29","49","52",
"0500000US42015","Bradford County, Pennsylvania","134","55","8","12","2","3","0","27","17","17","0","27","6","10","0","27","18","23","0","27","0","27","24","37","5","8","5","7","9","11","5","7","35","26",
"0500000US42017","Bucks County, Pennsylvania","10185","471","366","227","158","115","154","107","271","122","83","67","190","98","120","80","250","108","177","87","398","151","500","128","1016","233","672","173","676","193","1244","235","3910","343",
"0500000US42019","Butler County, Pennsylvania","997","134","41","38","16","14","0","27","22","39","0","27","78","61","0","27","0","27","0","27","2","3","52","34","159","66","213","118","84","59","100","61","230","106",
"0500000US42021","Cambria County, Pennsylvania","218","91","12","13","0","27","17","29","0","27","0","27","0","27","0","27","0","27","0","27","18","23","3","4","33","35","38","38","68","53","0","27","29","31",
"0500000US42023","Cameron County, Pennsylvania","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"0500000US42025","Carbon County, Pennsylvania","101","44","14","22","0","27","1","4","0","27","0","27","0","27","0","27","5","7","2","3","8","16","27","32","20","25","8","13","0","27","0","27","16","28",
"0500000US42027","Centre County, Pennsylvania","3427","291","921","237","65","66","74","61","199","145","94","66","271","164","108","60","61","57","10","14","237","109","139","105","224","127","416","159","68","44","274","140","266","97",
"0500000US42029","Chester County, Pennsylvania","11512","416","242","154","73","64","29","20","112","87","191","110","50","49","124","98","198","140","176","108","318","166","360","171","897","251","1205","302","1111","269","1684","256","4742","395",
"0500000US42031","Clarion County, Pennsylvania","45","43","0","24","0","24","0","24","0","24","0","24","27","43","0","24","0","24","0","24","0","24","0","24","0","24","9","13","0","24","9","13","0","24",
"0500000US42033","Clearfield County, Pennsylvania","152","61","7","9","0","27","12","15","0","27","1","3","3","6","0","27","8","14","15","18","0","27","16","19","26","32","43","56","11","13","0","27","10","12",
"0500000US42035","Clinton County, Pennsylvania","76","31","8","12","13","15","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","9","8","2","4","19","19","11","10","5","7","9","8",
"0500000US42037","Columbia County, Pennsylvania","194","66","4","6","0","27","0","27","17","22","0","27","0","27","0","27","1","2","0","27","0","27","0","27","54","55","21","15","28","27","35","34","34","30",
"0500000US42039","Crawford County, Pennsylvania","100","42","12","14","7","11","0","27","1","3","6","12","0","27","2","3","0","27","3","4","12","18","8","12","4","5","8","11","4","8","5","8","28","33",
"0500000US42041","Cumberland County, Pennsylvania","4606","314","76","60","86","60","53","59","58","64","51","54","66","67","202","140","129","81","320","145","240","162","267","144","310","98","674","194","378","148","696","186","1000","196",
"0500000US42043","Dauphin County, Pennsylvania","5135","303","242","134","109","91","104","109","40","40","54","47","59","52","146","99","166","144","69","67","276","106","644","224","539","185","667","210","462","166","570","187","988","273",
