"GEO_ID","NAME","B19001C_001E","B19001C_001M","B19001C_002E","B19001C_002M","B19001C_003E","B19001C_003M","B19001C_004E","B19001C_004M","B19001C_005E","B19001C_005M","B19001C_006E","B19001C_006M","B19001C_007E","B19001C_007M","B19001C_008E","B19001C_008M","B19001C_009E","B19001C_009M","B19001C_010E","B19001C_010M","B19001C_011E","B19001C_011M","B19001C_012E","B19001C_012M","B19001C_013E","B19001C_013M","B19001C_014E","B19001C_014M","B19001C_015E","B19001C_015M","B19001C_016E","B19001C_016M","B19001C_017E","B19001C_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US26165","Wexford County, Michigan","29","22","1","4","0","23","0","23","1","3","3","7","1","3","0","23","3","4","0","23","7","10","2","3","1","2","9","10","0","23","1","2","0","23",
"0500000US27001","Aitkin County, Minnesota","55","16","4","5","3","4","9","8","2","2","1","2","3","3","0","15","3","4","5","4","3","4","7","6","2","4","2","3","10","10","0","15","1","2",
"0500000US27003","Anoka County, Minnesota","424","98","15","23","0","22","0","22","1","2","10","17","12","18","0","22","20","24","0","22","41","44","13","15","36","30","89","56","100","52","53","46","34","37",
"0500000US27005","Becker County, Minnesota","631","73","69","24","82","27","51","16","36","18","53","31","17","10","41","30","49","22","26","11","31","12","56","34","43","20","30","15","8","9","30","18","9","6",
"0500000US27007","Beltrami County, Minnesota","2592","215","188","89","243","107","102","65","86","67","113","65","173","80","24","29","73","43","158","93","257","137","242","103","359","125","244","126","196","103","27","29","107","75",
"0500000US27009","Benton County, Minnesota","83","61","11","22","0","20","0","20","4","7","4","6","9","30","0","20","0","20","0","20","41","49","0","20","0","20","7","8","7","17","0","20","0","20",
"0500000US27011","Big Stone County, Minnesota","16","16","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","16","16","0","13","0","13",
"0500000US27013","Blue Earth County, Minnesota","48","34","0","22","0","22","2","5","16","25","0","22","0","22","0","22","1","2","17","19","11","12","0","22","0","22","0","22","0","22","1","2","0","22",
"0500000US27015","Brown County, Minnesota","19","20","2","4","0","17","17","19","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17",
"0500000US27017","Carlton County, Minnesota","519","81","40","23","15","12","20","14","54","36","26","20","28","19","45","32","62","32","6","8","27","15","46","21","57","25","30","21","21","14","20","12","22","17",
"0500000US27019","Carver County, Minnesota","57","41","0","22","7","12","0","22","0","22","0","22","0","22","0","22","0","22","12","18","0","22","22","31","0","22","2","3","2","4","0","22","12","17",
"0500000US27021","Cass County, Minnesota","811","87","88","28","43","17","60","31","48","27","61","37","76","31","31","17","24","12","43","19","46","19","70","21","84","25","56","19","24","15","39","22","18","11",
"0500000US27023","Chippewa County, Minnesota","86","24","0","15","13","18","16","16","0","15","0","15","40","45","0","15","0","15","0","15","0","15","11","17","6","12","0","15","0","15","0","15","0","15",
"0500000US27025","Chisago County, Minnesota","14","10","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","2","3","4","6","0","22","0","22","5","6","0","22","0","22","3","4",
"0500000US27027","Clay County, Minnesota","203","64","109","48","7","13","0","22","0","22","0","22","0","22","0","22","0","22","0","22","30","28","18","27","0","22","17","18","6","9","16","25","0","22",
"0500000US27029","Clearwater County, Minnesota","212","30","14","8","16","11","16","12","6","10","20","12","7","6","8","7","10","13","12","14","16","14","3","4","41","24","17","10","6","5","9","9","11","16",
"0500000US27031","Cook County, Minnesota","183","40","21","15","6","6","14","11","7","8","16","14","8","8","9","8","5","6","19","14","13","8","12","10","12","11","30","21","2","5","8","8","1","4",
"0500000US27033","Cottonwood County, Minnesota","16","13","0","15","0","15","0","15","0","15","0","15","0","15","7","10","0","15","0","15","0","15","0","15","0","15","9","12","0","15","0","15","0","15",
