"GEO_ID","NAME","B01001C_001E","B01001C_001M","B01001C_002E","B01001C_002M","B01001C_003E","B01001C_003M","B01001C_004E","B01001C_004M","B01001C_005E","B01001C_005M","B01001C_006E","B01001C_006M","B01001C_007E","B01001C_007M","B01001C_008E","B01001C_008M","B01001C_009E","B01001C_009M","B01001C_010E","B01001C_010M","B01001C_011E","B01001C_011M","B01001C_012E","B01001C_012M","B01001C_013E","B01001C_013M","B01001C_014E","B01001C_014M","B01001C_015E","B01001C_015M","B01001C_016E","B01001C_016M","B01001C_017E","B01001C_017M","B01001C_018E","B01001C_018M","B01001C_019E","B01001C_019M","B01001C_020E","B01001C_020M","B01001C_021E","B01001C_021M","B01001C_022E","B01001C_022M","B01001C_023E","B01001C_023M","B01001C_024E","B01001C_024M","B01001C_025E","B01001C_025M","B01001C_026E","B01001C_026M","B01001C_027E","B01001C_027M","B01001C_028E","B01001C_028M","B01001C_029E","B01001C_029M","B01001C_030E","B01001C_030M","B01001C_031E","B01001C_031M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"0500000US01065","Hale County, Alabama","39","64","21","39","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","21","39","0","21","0","21","18","26","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","18","26","0","21","0","21",
"0500000US01067","Henry County, Alabama","64","30","56","30","0","21","0","21","0","21","0","21","0","21","0","21","0","21","28","13","13","21","13","21","2","3","0","21","0","21","0","21","8","13","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","7","12","1","3","0","21","0","21","0","21","0","21",
"0500000US01069","Houston County, Alabama","262","73","116","47","23","7","5","9","2","3","2","2","7","9","14","22","2","3","2","4","18","22","4","8","20","14","17","16","0","31","0","31","146","38","0","31","2","2","0","31","2","4","4","6","14","16","13","19","2","3","12","10","8","9","14","8","47","19","28","14","0","31",
"0500000US01071","Jackson County, Alabama","358","114","138","66","4","7","4","7","20","30","14","17","10","14","6","12","14","18","9","10","31","18","3","4","11","8","11","14","1","2","0","31","220","76","10","13","4","8","15","24","0","31","9","16","0","31","5","10","8","10","110","51","26","33","15","15","18","21","0","31","0","31",
"0500000US01073","Jefferson County, Alabama","1510","515","892","326","167","141","131","99","25","30","48","37","15","21","26","29","51","43","25","36","184","91","80","48","72","97","55","28","7","10","6","11","618","222","3","5","140","121","2","5","40","37","29","48","22","26","58","51","82","69","62","48","67","37","27","17","33","41","53","32","0","31",
"0500000US01075","Lamar County, Alabama","51","46","33","32","33","32","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","18","14","16","16","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","2","4","0","21","0","21","0","21",
"0500000US01077","Lauderdale County, Alabama","301","151","136","86","0","31","0","31","6","9","1","2","19","32","12","18","0","31","0","31","30","44","18","24","43","34","0","31","7","11","0","31","165","78","17","21","2","4","36","12","0","31","0","31","18","21","0","31","12","17","12","11","28","25","29","36","3","5","8","11","0","31",
"0500000US01079","Lawrence County, Alabama","1339","288","665","178","13","23","13","15","29","26","25","36","48","38","63","52","55","64","22","27","163","102","59","45","52","45","84","69","39","49","0","28","674","176","19","29","41","41","21","25","58","44","0","28","61","47","47","41","20","27","130","58","65","39","144","42","35","39","33","36","0","28",
"0500000US01081","Lee County, Alabama","505","392","264","238","0","31","0","31","24","63","29","55","0","31","12","22","3","8","0","31","144","134","8","17","0","31","7","12","14","16","23","25","241","170","66","91","0","31","0","31","7","12","8","20","20","28","17","36","0","31","68","65","19","26","19","23","17","26","0","31","0","31",
"0500000US01083","Limestone County, Alabama","1123","432","453","238","0","31","0","31","30","41","25","33","8","14","56","64","58","73","0","31","76","79","145","114","0","31","48","58","7","13","0","31","670","253","13","13","54","37","26","35","62","76","0","31","162","158","44","53","33","52","199","120","19","17","21","24","3","5","34","38","0","31",
"0500000US01085","Lowndes County, Alabama","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01087","Macon County, Alabama","7","8","4","5","0","21","0","21","0","21","0","21","0","21","0","21","0","21","2","3","0","21","0","21","0","21","1","2","0","21","1","3","3","4","0","21","1","2","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","2","4","0","21","0","21",
"0500000US01089","Madison County, Alabama","2224","450","893","198","24","26","47","30","33","23","59","46","12","17","59","49","72","46","85","60","142","73","74","49","138","62","128","78","14","22","6","12","1331","299","40","19","60","36","128","62","139","111","55","75","93","58","5","8","65","45","222","97","254","67","186","82","36","24","39","32","9","14",
"0500000US01091","Marengo County, Alabama","74","106","53","82","0","21","0","21","0","21","0","21","28","57","0","21","0","21","0","21","0","21","0","21","25","39","0","21","0","21","0","21","21","30","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","21","30","0","21","0","21","0","21",
"0500000US01093","Marion County, Alabama","223","213","127","114","0","25","0","25","0","25","104","112","0","25","0","25","0","25","0","25","1","2","8","15","2","4","6","8","6","9","0","25","96","105","0","25","7","22","0","25","54","57","0","25","0","25","1","7","0","25","34","51","0","25","0","25","0","25","0","25","0","25",
"0500000US01095","Marshall County, Alabama","1380","631","762","371","0","31","147","187","2","3","151","125","122","108","112","96","12","9","89","81","23","20","49","61","19","25","14","16","22","38","0","31","618","308","102","120","54","62","136","112","0","31","5","9","61","75","6","9","28","34","121","119","9","6","57","28","24","21","0","31","15","26",
"0500000US01097","Mobile County, Alabama","1617","344","740","200","9","14","70","66","8","15","73","62","28","32","25","23","84","68","73","52","52","35","76","59","106","68","121","44","9","13","6","10","877","211","70","35","37","41","57","57","11","18","19","43","11","20","64","40","32","32","196","91","106","55","159","62","94","46","11","17","10","16",
"0500000US01099","Monroe County, Alabama","198","83","80","47","0","21","2","4","11","12","3","6","0","21","5","9","0","21","4","7","0","21","5","8","31","39","18","24","1","2","0","21","118","75","0","21","0","21","0","21","7","10","0","21","25","22","0","21","0","21","3","4","29","26","1","2","17","28","36","46","0","21",
"0500000US01101","Montgomery County, Alabama","374","167","206","122","40","61","0","31","9","15","0","31","0","31","95","95","1","3","6","11","7","12","19","15","26","39","0","31","3","6","0","31","168","80","0","31","0","31","28","34","6","10","0","31","37","43","0","31","0","31","13","18","36","43","40","28","7","11","1","3","0","31",
"0500000US01103","Morgan County, Alabama","866","331","435","249","8","15","36","63","0","31","0","31","35","42","81","82","0","31","56","68","57","66","111","101","31","36","20","19","0","31","0","31","431","253","23","35","20","25","30","38","4","7","0","31","0","31","0","31","15","23","170","133","29","34","125","122","15","26","0","31","0","31",
"0500000US01105","Perry County, Alabama","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19",
"0500000US01107","Pickens County, Alabama","48","49","3","6","0","21","3","6","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","45","49","0","21","0","21","0","21","0","21","0","21","0","21","9","19","24","32","12","22","0","21","0","21","0","21","0","21","0","21",
"0500000US01109","Pike County, Alabama","110","62","55","42","11","20","0","28","0","28","1","3","0","28","0","28","0","28","0","28","23","36","18","22","0","28","0","28","2","4","0","28","55","41","0","28","1","2","1","4","0","28","5","11","4","10","19","26","0","28","4","6","7","11","14","20","0","28","0","28","0","28",
"0500000US01111","Randolph County, Alabama","32","30","15","21","0","25","0","25","0","25","0","25","8","18","0","25","0","25","0","25","0","25","0","25","0","25","7","11","0","25","0","25","17","20","0","25","0","25","0","25","0","25","0","25","0","25","0","25","10","16","0","25","0","25","0","25","0","25","0","25","7","13",
"0500000US01113","Russell County, Alabama","93","75","53","58","0","31","0","31","0","31","20","33","0","31","22","32","0","31","0","31","11","20","0","31","0","31","0","31","0","31","0","31","40","48","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","28","46","11","18","1","3","0","31","0","31",
"0500000US01115","St. Clair County, Alabama","280","92","63","35","0","31","5","8","5","9","6","10","0","31","7","9","3","9","15","23","3","6","17","18","2","5","0","31","0","31","0","31","217","89","37","47","0","31","0","31","0","31","0","31","0","31","0","31","0","31","2","3","13","17","31","49","113","80","21","31","0","31",
"0500000US01117","Shelby County, Alabama","565","287","328","183","51","62","25","25","9","16","26","41","0","31","30","47","44","49","6","8","36","30","3","9","39","34","36","28","0","31","23","32","237","122","37","44","10","13","19","20","0","31","0","31","31","38","32","21","9","11","20","23","17","16","4","7","43","26","0","31","15","23",
"0500000US01119","Sumter County, Alabama","14","24","14","24","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","14","24","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01121","Talladega County, Alabama","77","68","25","31","0","31","0","31","15","19","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","10","17","0","31","52","43","0","31","15","19","0","31","0","31","0","31","0","31","0","31","1","2","30","30","6","9","0","31","0","31","0","31","0","31",
"0500000US01123","Tallapoosa County, Alabama","117","112","98","108","0","28","0","28","0","28","0","28","0","28","0","28","0","28","5","8","81","104","0","28","0","28","0","28","12","19","0","28","19","29","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","19","29","0","28","0","28",
"0500000US01125","Tuscaloosa County, Alabama","508","323","246","159","36","51","0","31","51","66","0","31","0","31","13","25","37","46","0","31","59","56","19","21","19","23","3","5","9","13","0","31","262","189","48","61","0","31","36","46","0","31","6","14","29","42","10","16","0","31","27","33","0","31","16","17","81","107","9","13","0","31",
"0500000US01127","Walker County, Alabama","86","63","64","49","13","25","0","31","0","31","0","31","18","22","0","31","0","31","0","31","10","16","23","21","0","31","0","31","0","31","0","31","22","32","0","31","0","31","22","32","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31",
"0500000US01129","Washington County, Alabama","983","189","378","113","0","21","0","21","7","14","0","21","0","21","205","104","0","21","0","21","23","34","0","21","50","51","93","46","0","21","0","21","605","161","0","21","0","21","0","21","87","95","0","21","104","149","0","21","0","21","31","42","18","36","286","174","52","44","27","35","0","21",
"0500000US01131","Wilcox County, Alabama","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01133","Winston County, Alabama","87","114","47","74","0","25","11","18","12","18","0","25","0","25","13","22","0","25","11","17","0","25","0","25","0","25","0","25","0","25","0","25","40","44","0","25","0","25","0","25","11","18","0","25","0","25","0","25","11","19","5","14","0","25","6","10","0","25","0","25","7","10",
"0500000US02013","Aleutians East Borough, Alaska","1242","130","651","103","40","13","25","10","44","17","33","13","24","10","54","28","27","18","33","46","73","23","80","80","110","25","55","17","49","17","4","5","591","69","20","12","33","11","44","18","37","10","16","12","51","17","25","26","33","14","74","20","65","18","87","20","47","15","49","19","10","9",
"0500000US02016","Aleutians West Census Area, Alaska","481","83","318","61","14","5","8","4","16","5","44","38","5","7","6","10","24","24","36","30","20","45","75","73","26","37","42","12","2","3","0","15","163","61","12","6","15","10","12","8","8","10","6","7","6","9","6","9","8","8","27","19","11","11","20","15","9","27","22","8","1","2",
